recency_band,segment,users,returned_users,baseline
0-7,overall,1124507,650816,0.5787567351737251
8-14,overall,683172,283359,0.4147696334158894
15-29,overall,2200340,571010,0.25950989392548424
30+,overall,9521812,894466,0.09393863268882015
0-7,nonbuyer_before_reference,800953,408669,0.5102284403704087
0-7,buyer_before_reference,323554,242147,0.7483974854274712
8-14,nonbuyer_before_reference,525395,191290,0.36408797190685105
8-14,buyer_before_reference,157777,92069,0.583538792092637
15-29,nonbuyer_before_reference,1877968,434625,0.2314336559515391
15-29,buyer_before_reference,322372,136385,0.4230671398260395
30+,nonbuyer_before_reference,8581151,769280,0.08964764750090053
30+,buyer_before_reference,940661,125186,0.1330830129026291
