cohort_month,status,is_buyer,users,avg_purchase_count,avg_total_spend,avg_recency_days,avg_active_days,avg_active_months
2019-10,churned,False,1851757,0.0,0.0,152.79,3.82,1.99
2019-10,churned,True,451303,3.4964,1140.88,117.41,10.761,3.167
2019-10,retained,False,393198,0.0,0.0,10.13,12.93,4.983
2019-10,retained,True,326032,4.5051,1275.35,8.4,24.422,5.977
2019-11,churned,False,1641637,0.0,0.0,136.21,2.789,1.679
2019-11,churned,True,243184,2.847,882.71,109.42,6.669,2.473
2019-11,retained,False,271173,0.0,0.0,10.63,8.831,4.008
2019-11,retained,True,138365,3.7406,1071.81,9.25,15.343,4.754
2019-12,churned,False,2015898,0.0,0.0,116.77,2.149,1.427
2019-12,churned,True,173603,2.8337,863.79,98.7,5.031,1.979
2019-12,retained,False,259936,0.0,0.0,10.83,6.739,3.327
2019-12,retained,True,90552,3.9165,1116.0,9.37,12.998,4.004
2020-01,churned,False,1737921,0.0,0.0,95.53,1.832,1.273
2020-01,churned,True,113674,2.8992,909.45,81.57,4.096,1.685
2020-01,retained,False,228117,0.0,0.0,10.85,5.813,2.9
2020-01,retained,True,66035,3.9503,1128.65,9.36,11.305,3.399
2020-02,churned,False,1461392,0.0,0.0,70.29,1.566,1.155
2020-02,churned,True,93843,2.9937,957.32,64.04,3.05,1.362
2020-02,retained,False,221065,0.0,0.0,10.91,4.875,2.486
2020-02,retained,True,61279,3.7926,1076.39,9.4,9.124,2.741
2020-03,churned,False,1272998,0.0,0.0,47.45,1.235,1.0
2020-03,churned,True,72970,1.8597,593.68,44.64,1.941,1.0
2020-03,retained,True,72713,2.8955,827.73,10.07,6.494,2.0
2020-03,retained,False,271186,0.0,0.0,11.63,3.911,2.0
2020-04,censored,False,1948626,0.0,0.0,11.07,1.431,1.0
2020-04,censored,True,161346,1.8317,468.36,9.33,2.673,1.0
