cohort_month,period_number,users,cohort_size,retention_rate
2019-10,0,3022290,3022290,1.0
2019-10,1,1401758,3022290,0.463807
2019-10,2,1215865,3022290,0.402299
2019-10,3,980892,3022290,0.324553
2019-10,4,888766,3022290,0.29407
2019-10,5,792909,3022290,0.262354
2019-10,6,719230,3022290,0.237975
2019-11,0,2294359,2294359,1.0
2019-11,1,821378,2294359,0.357999
2019-11,2,596093,2294359,0.259808
2019-11,3,523666,2294359,0.228241
2019-11,4,457858,2294359,0.199558
2019-11,5,409538,2294359,0.178498
2019-12,0,2539989,2539989,1.0
2019-12,1,663253,2539989,0.261124
2019-12,2,488519,2539989,0.192331
2019-12,3,405193,2539989,0.159525
2019-12,4,350488,2539989,0.137988
2020-01,0,2145747,2145747,1.0
2020-01,1,494676,2145747,0.230538
2020-01,2,354566,2145747,0.165241
2020-01,3,294152,2145747,0.137086
2020-02,0,1837579,1837579,1.0
2020-02,1,413667,1837579,0.225115
2020-02,2,282344,1837579,0.15365
2020-03,0,1689867,1689867,1.0
2020-03,1,343899,1689867,0.203507
2020-04,0,2109972,2109972,1.0
