metric,value,unit,note
전체 유저,15639803.0,명,분석 대상 고유 유저
구매 경험자 비율,0.132,비율,전체 유저 중 구매 경험 보유
반복 구매율,0.4017,비율,구매자 중 구매일수 2일 이상
4월 미활동 비율,0.8226,비율,3/31 UTC까지 관측된 사용자 중 4월 미활동; 영구 이탈 아님; 4월 최초 관측자 제외
재방문 확인율,0.1774,비율,판정 대상 중 재방문 확인
판단 보류(censored),2109972.0,명,4월 최초 관측자로 관찰 기회 부족; 실제 신규 가입자 아님
전체 세션,90305003.0,건,7개월 월별 고유 세션 수 합계; 월 경계 중복 미검증
cart / 전체 세션,0.12145864166573363,비율,cart 세션 / 월별 고유 세션 수 합계
cart·purchase 모두 / cart,0.44656972629270675,비율,cart와 purchase가 모두 존재하는 세션 / cart 세션
cart 미구매 비율,0.5534302737072933,비율,cart가 있고 purchase가 없는 세션 / cart 세션; 순서·동일 상품 미검증
